" Datos Básicos  - Tractores Industriales"
"Datos de: INDICADOR=TRACTORES INDUSTRIALES"
"FAMILIA INDICADOR",,"VEHÍCULOS",
"INDICADOR",,"TRACTORES INDUSTRIALES",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"24162 SANTOVENIA DE LA VALDONCINA",          35,
,"24163 SARIEGOS",           5,
,"24164 SENA DE LUNA",           1,
,"24165 SOBRADO",           1,
,"24166 SOTO DE LA VEGA",           4,
,"24167 SOTO Y AMIO",           4,
,"24169 TORENO",           6,
,"24170 TORRE DEL BIERZO",           8,
,"24173 TURCIA",           8,
,"24174 URDIALES DEL PARAMO",           4,
,"24175 VALDEFRESNO",          18,
,"24180 VALDEPOLO",           1,
,"24181 VALDERAS",           2,
,"24183 VALDERRUEDA",           8,
,"24187 VALDEVIMBRE",           7,
,"24188 VALENCIA DE DON JUAN",          11,
,"24189 VALVERDE DE LA VIRGEN",           9,
,"24191 VALLECILLO",           1,
,"24193 VECILLA (LA)",           1,
,"24196 VEGA DE ESPINAREDA",           2,
,"24197 VEGA DE INFANZONES",           2,
,"24198 VEGA DE VALCARCE",           1,
,"24199 VEGAQUEMADA",           1,
,"24202 VILLABLINO",          26,
,"24205 VILLADANGOS DEL PARAMO",           6,
,"24206 TORAL DE LOS VADOS",           6,
,"24209 VILLAFRANCA DEL BIERZO",           8,
,"24210 VILLAGATON",           6,
,"24211 VILLAMANDOS",           2,
,"24212 VILLAMAÑAN",           4,
,"24214 VILLAMEJIL",           3,
,"24216 VILLAMONTAN DE LA VALDUERNA",           2,
,"24217 VILLAMORATIEL DE LAS MATAS",           1,
,"24219 VILLAOBISPO DE OTERO",           3,
,"24221 VILLAQUEJIDA",           6,
,"24222 VILLAQUILAMBRE",          17,
,"24223 VILLAREJO DE ORBIGO",          12,
,"24224 VILLARES DE ORBIGO",           4,
,"24225 VILLASABARIEGO",           2,
,"24227 VILLATURIEL",           9,
,"24228 VILLAZALA",           1,
,"24229 VILLAZANZO DE VALDERADUEY",           1,
,"24230 ZOTES DEL PARAMO",           1,
,"24902 VILLAORNATE Y CASTRO",           2,
,"34004 AGUILAR DE CAMPOO",          33,
,"34005 ALAR DEL REY",           7,
,"34006 ALBA DE CERRATO",           1,
,"34010 AMPUDIA",           4,
,"34017 ASTUDILLO",           2,
,"34019 AUTILLO DE CAMPOS",           1,
,"34022 BALTANAS",           6,
,"34023 VENTA DE BAÑOS",          32,
,"34025 BARCENA DE CAMPOS",           2,
,"34027 BARRUELO DE SANTULLAN",           1,
,"34028 BASCONES DE OJEDA",           2,
,"34029 BECERRIL DE CAMPOS",           3,
,"34037 BUENAVISTA DE VALDAVIA",           3,
,"34038 BUSTILLO DE LA VEGA",           4,
,"34042 CALZADA DE LOS MOLINOS",           1,
,"34047 CARRION DE LOS CONDES",           9,
,"34048 CASTIL DE VELA",           2,
,"34052 CASTRILLO DE VILLAVEGA",           3,
,"34056 CERVERA DE PISUERGA",          16,
,"34057 CEVICO DE LA TORRE",           3,
,"34058 CEVICO NAVERO",           2,
,"34059 CISNEROS",           2,
,"34060 COBOS DE CERRATO",           2,
,"34062 CONGOSTO DE VALDAVIA",           1,
,"34063 CORDOVILLA LA REAL",           4,
,"34067 DEHESA DE MONTEJO",           1,
,"34069 DUEÑAS",           8,
,"34071 ESPINOSA DE VILLAGONZALO",           3,
,"34072 FRECHILLA",           1,
,"34074 FROMISTA",           7,
,"34076 FUENTES DE NAVA",           9,
,"34077 FUENTES DE VALDEPERO",           1,
,"34079 GRIJOTA",           3,
,"34080 GUARDO",          59,
,"34082 HERMEDES DE CERRATO",           1,
,"34083 HERRERA DE PISUERGA",          17,
,"34089 ITERO DE LA VEGA",           1,
,"34092 LANTADILLA",           3,
,"34098 MAGAZ DE PISUERGA",           4,
,"34100 MANTINOS",           1,
,"34104 MELGAR DE YUSO",           1,
,"34108 MONZON DE CAMPOS",           3,
,"34110 MUDA",           1,
,"34114 OLMOS DE OJEDA",           1,
,"34120 PALENCIA",         350,
,"34121 PALENZUELA",           1,
,"34123 PAREDES DE NAVA",           4,
,"34126 PEDROSA DE LA VEGA",           2,
,"34127 PERALES",           1,
,"34129 PINO DEL RIO",           1,
,"34132 POBLACION DE CAMPOS",           4,
,"34135 POMAR DE VALDIVIA",          10,
,"34139 PRADANOS DE OJEDA",           1,
,"34141 QUINTANA DEL PUENTE",           1,
,"34146 REINOSO DE CERRATO",           1,
,"34149 REQUENA DE CAMPOS",           1,
,"34151 RESPENDA DE LA PEÑA",           1,
,"34157 SALDAÑA",          18,
,"34169 SANTERVAS DE LA VEGA",           1,
,"34171 SANTIBAÑEZ DE LA PEÑA",           8,
,"34182 TORQUEMADA",           6,
,"34192 VALDE-UCIEZA",           1,
,"34199 VELILLA DEL RIO CARRION",           3,
,"34206 VILLADA",           1,
,"34211 VILLAHERREROS",           3,
,"34217 VILLALOBON",          10,
,"34218 VILLALUENGA DE LA VEGA",           1,
,"34225 VILLAMURIEL DE CERRATO",          25,
,"34231 VILLARRABE",           1,
,"34232 VILLARRAMIEL",           5,
,"34236 VILLATURDE",           3,
,"34237 VILLAUMBRALES",           4,
,"34238 VILLAVIUDAS",           1,
,"34241 VILLODRE",           2,
,"34243 VILLOLDO",           2,
,"34901 OSORNO LA MAYOR",           8,
,"34904 PERNIA (LA)",           1,
,"37008 ALBA DE TORMES",          22,
,"37010 ALBERCA (LA)",           1,
,"37014 ALDEADAVILA DE LA RIBERA",          12,
,"37017 ALDEANUEVA DE FIGUEROA",           1,
,"37023 ALDEATEJADA",           3,
,"37024 ALDEAVIEJA DE TORMES",           1,
,"37026 ALDEHUELA DE YELTES",           1,
,"37031 ARABAYONA DE MOGICA",           1,
,"37032 ARAPILES",           4,
,"37038 BABILAFUENTE",           3,
,"37044 BARRUECOPARDO",           2,
,"37046 BEJAR",          10,
,"37057 BOVEDA DEL RIO ALMAR",           1,
,"37068 CABRILLAS",           1,
,"37069 CALVARRASA DE ABAJO",           4,
,"37072 CALZADA DE DON DIEGO",           1,
,"37073 CALZADA DE VALDUNCIEL",           2,
