" Datos Básicos  - Tractores Industriales"
"Datos de: INDICADOR=TRACTORES INDUSTRIALES"
"FAMILIA INDICADOR",,"VEHÍCULOS",
"INDICADOR",,"TRACTORES INDUSTRIALES",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"05245 TORNADIZOS DE AVILA",          18,
,"05254 VELAYOS",           9,
,"05256 VILLAFLOR",           2,
,"05257 VILLAFRANCA DE LA SIERRA",           2,
,"05258 VILLANUEVA DE GOMEZ",           1,
,"05259 VILLANUEVA DEL ACERAL",           3,
,"05265 VITA",           1,
,"05266 ZAPARDIEL DE LA CAÑADA",           2,
,"05902 SANTA MARIA DEL CUBILLO",          27,
,"09009 ALBILLOS",           5,
,"09010 ALCOCERO DE MOLA",           1,
,"09012 ALFOZ DE SANTA GADEA",           1,
,"09014 ALTOS (LOS)",          13,
,"09018 ARANDA DE DUERO",         521,
,"09019 ARANDILLA",           1,
,"09020 ARAUZO DE MIEL",           5,
,"09023 ARCOS",           3,
,"09024 ARENILLAS DE RIOPISUERGA",           1,
,"09026 ARLANZON",           1,
,"09029 ATAPUERCA",           3,
,"09030 AUSINES (LOS)",           1,
,"09032 AVELLANOSA DE MUÑO",           3,
,"09034 BALBASES (LOS)",           4,
,"09038 BARBADILLO DEL MERCADO",           1,
,"09045 BASCONCILLOS DEL TOZO",           1,
,"09048 BELORADO",          11,
,"09050 BERBERANA",           1,
,"09054 BOZOO",           1,
,"09056 BRIVIESCA",         113,
,"09058 BUNIEL",           2,
,"09059 BURGOS",         779,
,"09060 BUSTO DE BUREBA",           1,
,"09061 CABAÑES DE ESGUEVA",           8,
,"09063 CAVIA",          12,
,"09064 CALERUEGA",           3,
,"09065 CAMPILLO DE ARANDA",          39,
,"09067 CANICOSA DE LA SIERRA",          10,
,"09070 CARAZO",           1,
,"09073 CARDEÑADIJO",           3,
,"09074 CARDEÑAJIMENO",           5,
,"09075 CARDEÑUELA RIOPICO",           3,
,"09078 CASCAJARES DE LA SIERRA",           3,
,"09079 CASTELLANOS DE CASTRO",           2,
,"09084 CASTRILLO DE LA REINA",           1,
,"09085 CASTRILLO DE LA VEGA",           6,
,"09086 CASTRILLO DEL VAL",           4,
,"09091 CASTROJERIZ",          11,
,"09093 CAYUELA",           1,
,"09095 CELADA DEL CAMINO",           1,
,"09098 CEREZO DE RIO TIRON",          33,
,"09101 CIADONCHA",           5,
,"09108 COGOLLOS",           7,
,"09109 CONDADO DE TREVIÑO",           9,
,"09112 CORUÑA DEL CONDE",           1,
,"09113 COVARRUBIAS",           2,
,"09114 CUBILLO DEL CAMPO",          15,
,"09115 CUBO DE BUREBA",           1,
,"09119 CUEVAS DE SAN CLEMENTE",           1,
,"09123 ESPINOSA DEL CAMINO",           1,
,"09124 ESPINOSA DE LOS MONTEROS",          14,
,"09125 ESTEPAR",           2,
,"09127 FONTIOSO",           2,
,"09128 FRANDOVINEZ",           1,
,"09131 FRESNILLO DE LAS DUEÑAS",          11,
,"09132 FRESNO DE RIO TIRON",           1,
,"09134 FRIAS",           3,
,"09135 FUENTEBUREBA",           1,
,"09136 FUENTECEN",          10,
,"09141 FUENTESPINA",          13,
,"09144 GALLEGA (LA)",           1,
,"09148 GRIJALBA",           1,
,"09151 GUMIEL DE IZAN",           3,
,"09162 HONTORIA DE LA CANTERA",           1,
,"09163 HONTORIA DEL PINAR",           7,
,"09168 HORRA (LA)",           1,
,"09174 HUERTA DE REY",          17,
,"09175 HUMADA",           2,
,"09176 HURONES",           2,
,"09177 IBEAS DE JUARROS",           7,
,"09180 IGLESIAS",           3,
,"09194 LERMA",          23,
,"09197 MADRIGALEJO DEL MONTE",           6,
,"09198 MAHAMUD",           4,
,"09199 MAMBRILLA DE CASTREJON",           1,
,"09202 MANCILES",           5,
,"09209 MEDINA DE POMAR",          35,
,"09211 MELGAR DE FERNAMENTAL",          32,
,"09213 MERINDAD DE CUESTA-URRIA",           6,
,"09214 MERINDAD DE MONTIJA",           2,
,"09216 MERINDAD DE VALDEPORRES",           7,
,"09217 MERINDAD DE VALDIVIELSO",           1,
,"09218 MILAGROS",          18,
,"09219 MIRANDA DE EBRO",         164,
,"09221 MODUBAR DE LA EMPAREDADA",           1,
,"09224 MONASTERIO DE RODILLA",           4,
,"09227 MONTORIO",          10,
,"09228 MORADILLO DE ROA",           2,
,"09229 NAVA DE ROA",           4,
,"09231 NEBREDA",           3,
,"09232 NEILA",           1,
,"09235 OLMEDILLO DE ROA",           2,
,"09236 OLMILLOS DE MUÑO",           3,
,"09242 PADILLA DE ABAJO",           3,
,"09243 PADILLA DE ARRIBA",           1,
,"09246 PALACIOS DE LA SIERRA",          21,
,"09251 PANCORBO",           3,
,"09256 PEDROSA DE DUERO",           2,
,"09257 PEDROSA DEL PARAMO",           1,
,"09258 PEDROSA DEL PRINCIPE",           1,
,"09259 PEDROSA DE RIO URBEL",           1,
,"09261 PEÑARANDA DE DUERO",           2,
,"09262 PERAL DE ARLANZA",           3,
,"09268 PINILLA DE LOS BARRUECOS",           1,
,"09272 POZA DE LA SAL",           1,
,"09275 PRESENCIO",          14,
,"09276 PUEBLA DE ARGANZON (LA)",           2,
,"09279 QUEMADA",           1,
,"09281 QUINTANA DEL PIDIO",           1,
,"09287 QUINTANAORTUÑO",           1,
,"09288 QUINTANAPALLA",           1,
,"09289 QUINTANAR DE LA SIERRA",          41,
,"09292 QUINTANAVIDES",           2,
,"09297 QUINTANILLAS (LAS)",           8,
,"09298 QUINTANILLA SAN GARCIA",           1,
,"09301 QUINTANILLA VIVAR",           9,
,"09304 RABE DE LAS CALZADAS",           1,
,"09308 REDECILLA DEL CAMPO",           1,
,"09309 REGUMIEL DE LA SIERRA",          54,
,"09312 REVILLA Y AHEDO (LA)",           4,
,"09315 REVILLARRUZ",           4,
,"09317 REZMONDO",           1,
,"09321 ROA",           7,
,"09325 ROYUELA DE RIO FRANCO",           9,
,"09326 RUBENA",          11,
,"09328 RUCANDIO",           1,
,"09329 SALAS DE BUREBA",           1,
,"09330 SALAS DE LOS INFANTES",          32,
,"09334 SALINILLAS DE BUREBA",           2,
,"09335 SAN ADRIAN DE JUARROS",           1,
,"09338 SAN MAMES DE BURGOS",           3,
,"09345 SANTA CRUZ DE LA SALCEDA",           1,
,"09346 SANTA CRUZ DEL VALLE URBION",           1,
,"09347 SANTA GADEA DEL CID",           1,
,"09350 SANTA MARIA DEL CAMPO",          11,
,"09351 SANTA MARIA DEL INVIERNO",           1,
,"09362 SARRACIN",           1,
,"09363 SASAMON",           9,
,"09366 SOLARANA",           1,
,"09369 SOTILLO DE LA RIBERA",           1,
,"09373 SOTRESGUDO",           6,
,"09375 TAMARON",           1,
,"09377 TARDAJOS",           3,
,"09384 TORDOMAR",          11,
,"09386 TORRECILLA DEL MONTE",           2,
,"09388 TORRELARA",           1,
,"09390 TORRESANDINO",           3,
,"09391 TORTOLES DE ESGUEVA",           7,
,"09394 TRESPADERNE",           8,
,"09396 TUBILLA DEL LAGO",           1,
,"09398 URBEL DEL CASTILLO",           1,
,"09400 VADOCONDES",           1,
,"09406 VALDORROS",           1,
,"09410 VALLE DE MENA",          20,
,"09412 VALLE DE TOBALINA",           2,
,"09413 VALLE DE VALDEBEZANA",           8,
,"09419 VALLUERCANES",           2,
,"09421 VID Y BARRIOS (LA)",           2,
,"09424 VILORIA DE RIOJA",           1,
,"09425 VILVIESTRE DEL PINAR",          54,
,"09427 VILLADIEGO",          15,
,"09428 VILLAESCUSA DE ROA",           4,
,"09432 VILLAFRUELA",           4,
,"09433 VILLAGALIJO",           1,
,"09434 VILLAGONZALO PEDERNALES",          83,
,"09437 VILLAHOZ",           1,
,"09438 VILLALBA DE DUERO",          14,
,"09439 VILLALBILLA DE BURGOS",          16,
,"09441 VILLALDEMIRO",           1,
,"09442 VILLALMANZO",           5,
,"09445 VILLAMBISTIA",           2,
,"09447 VILLAMIEL DE LA SIERRA",           1,
,"09448 VILLANGOMEZ",           3,
,"09449 VILLANUEVA DE ARGAÑO",           2,
,"09451 VILLANUEVA DE GUMIEL",           7,
,"09454 VILLANUEVA DE TEBA",           1,
,"09456 VILLAQUIRAN DE LOS INFANTES",          11,
,"09458 VILLARIEZO",          42,
,"09460 VILLASANDINO",           3,
,"09467 VILLAVERDE-MOGINA",           3,
,"09471 VILLAYERNO MORQUILLAS",           1,
,"09483 ZAZUAR",           1,
,"09901 QUINTANILLA DEL AGUA Y TORDUELES",           5,
,"09902 VALLE DE SANTIBAÑEZ",           4,
,"09903 VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA",          26,
,"09904 VALLE DE LAS NAVAS",           6,
,"09905 VALLE DE SEDANO",           2,
,"09906 MERINDAD DE RIO UBIERNA",          21,
,"09907 ALFOZ DE QUINTANADUEÑAS",          12,
,"09908 VALLE DE LOSA",           7,
,"24002 ALGADEFE",           3,
,"24003 ALIJA DEL INFANTADO",           1,
,"24004 ALMANZA",          13,
,"24005 ANTIGUA (LA)",           2,
,"24006 ARDON",           1,
,"24007 ARGANZA",           2,
,"24008 ASTORGA",          57,
,"24010 BAÑEZA (LA)",         112,
,"24011 BARJAS",           1,
,"24014 BEMBIBRE",          40,
,"24015 BENAVIDES",          19,
,"24016 BENUZA",           1,
,"24017 BERCIANOS DEL PARAMO",          10,
,"24018 BERCIANOS DEL REAL CAMINO",           3,
,"24019 BERLANGA DEL BIERZO",           2,
,"24020 BOCA DE HUERGANO",           1,
,"24021 BOÑAR",           7,
,"24022 BORRENES",           2,
,"24023 BRAZUELO",          17,
,"24024 BURGO RANERO (EL)",           2,
,"24025 BURON",           2,
,"24026 BUSTILLO DEL PARAMO",           9,
,"24027 CABAÑAS RARAS",          23,
,"24028 CABREROS DEL RIO",           6,
,"24030 CACABELOS",           9,
,"24033 CAMPO DE VILLAVIDEL",           1,
,"24034 CAMPONARAYA",          20,
,"24037 CARMENES",           2,
,"24038 CARRACEDELO",          14,
,"24039 CARRIZO",          18,
,"24040 CARROCERA",           3,
,"24041 CARUCEDO",          22,
,"24042 CASTILFALE",           2,
,"24049 CASTROPODAME",           1,
,"24050 CASTROTIERRA DE VALMADRIGAL",           1,
,"24053 CEBRONES DEL RIO",          16,
,"24054 CIMANES DE LA VEGA",           5,
,"24055 CIMANES DEL TEJAR",           4,
,"24056 CISTIERNA",          19,
,"24057 CONGOSTO",           6,
,"24058 CORBILLOS DE LOS OTEROS",           1,
,"24060 CREMENES",           2,
,"24061 CUADROS",          13,
,"24062 CUBILLAS DE LOS OTEROS",           2,
,"24063 CUBILLAS DE RUEDA",           2,
,"24064 CUBILLOS DEL SIL",          70,
,"24065 CHOZAS DE ABAJO",          16,
,"24066 DESTRIANA",           3,
,"24067 ENCINEDO",           2,
,"24068 ERCINA (LA)",           1,
,"24070 FABERO",          17,
,"24071 FOLGOSO DE LA RIBERA",          18,
,"24073 FRESNO DE LA VEGA",           4,
,"24074 FUENTES DE CARBAJAL",           2,
,"24076 GARRAFE DE TORIO",           2,
,"24077 GORDALIZA DEL PINO",           4,
,"24078 GORDONCILLO",           5,
,"24079 GRADEFES",           2,
,"24080 GRAJAL DE CAMPOS",           1,
,"24082 HOSPITAL DE ORBIGO",           3,
,"24083 IGÜEÑA",           1,
,"24084 IZAGRE",           1,
,"24087 LAGUNA DALGA",           8,
,"24088 LAGUNA DE NEGRILLOS",           7,
,"24089 LEON",         339,
,"24090 LUCILLO",           1,
,"24091 LUYEGO",           2,
,"24092 LLAMAS DE LA RIBERA",           2,
,"24093 MAGAZ DE CEPEDA",           2,
,"24094 MANSILLA DE LAS MULAS",          18,
,"24095 MANSILLA MAYOR",           2,
,"24097 MATADEON DE LOS OTEROS",           9,
,"24098 MATALLANA DE TORIO",           6,
,"24099 MATANZA",           1,
,"24100 MOLINASECA",           1,
,"24102 NOCEDA DEL BIERZO",           3,
,"24104 OMAÑAS (LAS)",           3,
,"24105 ONZONILLA",         118,
,"24108 PALACIOS DE LA VALDUERNA",           1,
,"24110 PARAMO DEL SIL",           7,
,"24113 POBLADURA DE PELAYO GARCIA",           3,
,"24114 POLA DE GORDON (LA)",          27,
,"24115 PONFERRADA",         363,
,"24116 POSADA DE VALDEON",           1,
,"24119 PRIARANZA DEL BIERZO",           2,
,"24121 PUEBLA DE LILLO",           2,
,"24122 PUENTE DE DOMINGO FLOREZ",           3,
,"24123 QUINTANA DEL CASTILLO",           1,
,"24124 QUINTANA DEL MARCO",           9,
,"24125 QUINTANA Y CONGOSTO",          18,
,"24130 RIAÑO",           3,
,"24131 RIEGO DE LA VEGA",           4,
,"24132 RIELLO",           1,
,"24133 RIOSECO DE TAPIA",           2,
,"24134 ROBLA (LA)",          43,
,"24136 ROPERUELOS DEL PARAMO",           3,
,"24137 SABERO",           1,
,"24139 SAHAGUN",          14,
,"24142 SAN ANDRES DEL RABANEDO",          97,
,"24143 SANCEDO",           7,
,"24144 SAN CRISTOBAL DE LA POLANTERA",           2,
,"24145 SAN EMILIANO",           7,
,"24146 SAN ESTEBAN DE NOGALES",           2,
,"24148 SAN JUSTO DE LA VEGA",          21,
,"24149 SAN MILLAN DE LOS CABALLEROS",           1,
,"24150 SAN PEDRO BERCIANOS",           4,
,"24151 SANTA COLOMBA DE CURUEÑO",           3,
,"24153 SANTA CRISTINA DE VALMADRIGAL",           1,
,"24155 SANTA MARIA DE LA ISLA",           2,
,"24156 SANTA MARIA DEL MONTE DE CEA",           2,
,"24157 SANTA MARIA DEL PARAMO",          31,
,"24158 SANTA MARIA DE ORDAS",           1,
,"24159 SANTA MARINA DEL REY",          21,
,"24160 SANTAS MARTAS",          21,
,"24161 SANTIAGO MILLAS",           1,
,"24162 SANTOVENIA DE LA VALDONCINA",          89,
,"24163 SARIEGOS",          20,
,"24166 SOTO DE LA VEGA",           9,
,"24167 SOTO Y AMIO",           9,
,"24168 TORAL DE LOS GUZMANES",           2,
,"24169 TORENO",          28,
,"24170 TORRE DEL BIERZO",          16,
,"24173 TURCIA",          16,
,"24174 URDIALES DEL PARAMO",           4,
,"24175 VALDEFRESNO",          13,
,"24176 VALDEFUENTES DEL PARAMO",           4,
,"24177 VALDELUGUEROS",           1,
,"24179 VALDEPIELAGO",           1,
,"24180 VALDEPOLO",          10,
,"24181 VALDERAS",           5,
,"24183 VALDERRUEDA",           7,
,"24187 VALDEVIMBRE",          11,
,"24188 VALENCIA DE DON JUAN",          62,
,"24189 VALVERDE DE LA VIRGEN",          36,
,"24190 VALVERDE-ENRIQUE",           5,
,"24191 VALLECILLO",          10,
,"24193 VECILLA (LA)",           2,
,"24196 VEGA DE ESPINAREDA",           4,
,"24197 VEGA DE INFANZONES",           2,
,"24198 VEGA DE VALCARCE",          11,
,"24201 VEGAS DEL CONDADO",           1,
,"24202 VILLABLINO",          24,
,"24205 VILLADANGOS DEL PARAMO",          17,
,"24206 TORAL DE LOS VADOS",          29,
,"24209 VILLAFRANCA DEL BIERZO",           9,
,"24210 VILLAGATON",           1,
,"24211 VILLAMANDOS",           4,
,"24212 VILLAMAÑAN",          11,
,"24214 VILLAMEJIL",           6,
,"24216 VILLAMONTAN DE LA VALDUERNA",           8,
,"24217 VILLAMORATIEL DE LAS MATAS",           1,
,"24218 VILLANUEVA DE LAS MANZANAS",           5,
,"24219 VILLAOBISPO DE OTERO",           3,
,"24221 VILLAQUEJIDA",          17,
,"24222 VILLAQUILAMBRE",          37,
,"24223 VILLAREJO DE ORBIGO",          21,
,"24224 VILLARES DE ORBIGO",           4,
,"24225 VILLASABARIEGO",           4,
,"24226 VILLASELAN",           1,
,"24227 VILLATURIEL",          37,
,"24228 VILLAZALA",           1,
,"24229 VILLAZANZO DE VALDERADUEY",           5,
,"24230 ZOTES DEL PARAMO",           3,
,"24901 VILLAMANIN",           4,
,"24902 VILLAORNATE Y CASTRO",           3,
,"34001 ABARCA DE CAMPOS",           5,
,"34004 AGUILAR DE CAMPOO",          44,
,"34005 ALAR DEL REY",          13,
,"34006 ALBA DE CERRATO",           1,
,"34010 AMPUDIA",           4,
,"34011 AMUSCO",           1,
,"34015 ARCONADA",           1,
,"34018 AUTILLA DEL PINO",           4,
,"34019 AUTILLO DE CAMPOS",           3,
,"34020 AYUELA",           1,
,"34022 BALTANAS",          10,
,"34023 VENTA DE BAÑOS",          38,
,"34024 BAQUERIN DE CAMPOS",           1,
,"34025 BARCENA DE CAMPOS",           1,
,"34027 BARRUELO DE SANTULLAN",           4,
,"34028 BASCONES DE OJEDA",           3,
,"34029 BECERRIL DE CAMPOS",           7,
,"34031 BELMONTE DE CAMPOS",           1,
,"34035 BOADILLA DE RIOSECO",           2,
,"34037 BUENAVISTA DE VALDAVIA",           6,
,"34038 BUSTILLO DE LA VEGA",           4,
,"34041 CALAHORRA DE BOEDO",           1,
,"34042 CALZADA DE LOS MOLINOS",           2,
,"34047 CARRION DE LOS CONDES",          11,
,"34048 CASTIL DE VELA",           2,
,"34050 CASTRILLO DE DON JUAN",           1,
,"34051 CASTRILLO DE ONIELO",           1,
,"34052 CASTRILLO DE VILLAVEGA",           3,
,"34053 CASTROMOCHO",           1,
,"34056 CERVERA DE PISUERGA",          10,
,"34057 CEVICO DE LA TORRE",          14,
,"34058 CEVICO NAVERO",          13,
,"34059 CISNEROS",           5,
,"34060 COBOS DE CERRATO",           4,
,"34062 CONGOSTO DE VALDAVIA",           2,
,"34063 CORDOVILLA LA REAL",          11,
,"34067 DEHESA DE MONTEJO",           2,
,"34069 DUEÑAS",          70,
,"34072 FRECHILLA",           1,
,"34074 FROMISTA",           9,
,"34076 FUENTES DE NAVA",          16,
,"34077 FUENTES DE VALDEPERO",           6,
,"34079 GRIJOTA",          33,
,"34080 GUARDO",          64,
,"34082 HERMEDES DE CERRATO",           3,
,"34083 HERRERA DE PISUERGA",          24,
,"34084 HERRERA DE VALDECAÑAS",           2,
,"34088 HUSILLOS",           3,
,"34092 LANTADILLA",          14,
,"34098 MAGAZ DE PISUERGA",          55,
,"34099 MANQUILLOS",           1,
,"34100 MANTINOS",           1,
,"34101 MARCILLA DE CAMPOS",           1,
,"34102 MAZARIEGOS",           1,
,"34104 MELGAR DE YUSO",           1,
,"34106 MENESES DE CAMPOS",           1,
,"34108 MONZON DE CAMPOS",           2,
,"34110 MUDA",           1,
,"34120 PALENCIA",         406,
,"34121 PALENZUELA",           3,
,"34123 PAREDES DE NAVA",          10,
,"34125 PEDRAZA DE CAMPOS",           1,
,"34126 PEDROSA DE LA VEGA",           4,
,"34127 PERALES",           2,
,"34129 PINO DEL RIO",           1,
,"34130 PIÑA DE CAMPOS",           5,
,"34131 POBLACION DE ARROYO",           1,
,"34132 POBLACION DE CAMPOS",           3,
,"34135 POMAR DE VALDIVIA",           6,
,"34139 PRADANOS DE OJEDA",           4,
,"34141 QUINTANA DEL PUENTE",           1,
,"34143 QUINTANILLA DE ONSOÑA",           1,
,"34147 RENEDO DE LA VEGA",           2,
,"34154 REVILLA DE COLLAZOS",           1,
,"34157 SALDAÑA",          39,
,"34159 SAN CEBRIAN DE CAMPOS",           1,
,"34160 SAN CEBRIAN DE MUDA",           1,
,"34167 SANTA CECILIA DEL ALCOR",          10,
,"34169 SANTERVAS DE LA VEGA",           1,
,"34170 SANTIBAÑEZ DE ECLA",           1,
,"34171 SANTIBAÑEZ DE LA PEÑA",          13,
,"34176 SOTOBAÑADO Y PRIORATO",           3,
,"34177 SOTO DE CERRATO",           1,
,"34180 TAMARA DE CAMPOS",           1,
,"34182 TORQUEMADA",           7,
,"34192 VALDE-UCIEZA",           3,
,"34196 VALLE DE CERRATO",           1,
,"34199 VELILLA DEL RIO CARRION",           4,
,"34201 VERTAVILLO",           1,
,"34205 VILLACONANCIO",           4,
,"34206 VILLADA",           6,
,"34208 VILLAELES DE VALDAVIA",           1,
,"34211 VILLAHERREROS",           9,
,"34214 VILLALBA DE GUARDO",           1,
,"34215 VILLALCAZAR DE SIRGA",           2,
,"34216 VILLALCON",           2,
,"34217 VILLALOBON",          21,
,"34218 VILLALUENGA DE LA VEGA",           8,
,"34221 VILLAMEDIANA",           2,
,"34223 VILLAMORONTA",           1,
,"34225 VILLAMURIEL DE CERRATO",         195,
,"34228 VILLANUÑO DE VALDAVIA",           1,
,"34230 VILLARMENTERO DE CAMPOS",           1,
,"34232 VILLARRAMIEL",          13,
,"34234 VILLASILA DE VALDAVIA",           1,
,"34236 VILLATURDE",           1,
,"34237 VILLAUMBRALES",          10,
,"34238 VILLAVIUDAS",           3,
,"34240 VILLERIAS DE CAMPOS",           1,
,"34242 VILLODRIGO",           1,
,"34243 VILLOLDO",           4,
,"34245 VILLOTA DEL PARAMO",           4,
,"34901 OSORNO LA MAYOR",          17,
,"34903 LOMA DE UCIEZA",           8,
,"37002 AGALLAS",           2,
,"37006 ALAMEDILLA (LA)",           1,
,"37007 ALARAZ",           2,
,"37008 ALBA DE TORMES",          40,
,"37009 ALBA DE YELTES",           3,
,"37010 ALBERCA (LA)",           7,
,"37012 ALCONADA",           1,
,"37014 ALDEADAVILA DE LA RIBERA",           3,
,"37017 ALDEANUEVA DE FIGUEROA",           3,
,"37020 ALDEARRUBIA",           1,
,"37021 ALDEASECA DE ALBA",           7,
,"37022 ALDEASECA DE LA FRONTERA",           1,
,"37023 ALDEATEJADA",           8,
,"37024 ALDEAVIEJA DE TORMES",           1,
,"37026 ALDEHUELA DE YELTES",           1,
,"37029 ANAYA DE ALBA",           1,
,"37031 ARABAYONA DE MOGICA",           3,
,"37032 ARAPILES",           9,
,"37035 ARMENTEROS",           1,
,"37038 BABILAFUENTE",           8,
,"37040 BARBADILLO",           1,
,"37044 BARRUECOPARDO",           4,
,"37046 BEJAR",          24,
,"37055 BOGAJO",           1,
,"37057 BOVEDA DEL RIO ALMAR",           3,
,"37061 CABACO (EL)",           2,
,"37063 CABEZA DE BEJAR (LA)",           1,
,"37067 CABRERIZOS",          10,
,"37068 CABRILLAS",           1,
,"37069 CALVARRASA DE ABAJO",           8,
,"37070 CALVARRASA DE ARRIBA",           2,
,"37073 CALZADA DE VALDUNCIEL",           2,
,"37074 CAMPILLO DE AZABA",           1,
,"37077 CAMPO DE PEÑARANDA (EL)",           1,
,"37080 CANTAGALLO",           3,
,"37081 CANTALAPIEDRA",           1,
,"37082 CANTALPINO",           7,
,"37083 CANTARACILLO",           3,
,"37085 CARBAJOSA DE LA SAGRADA",          70,
,"37087 CARRASCAL DE BARREGAS",          43,
,"37092 CASTELLANOS DE MORISCOS",           8,
,"37106 CIPEREZ",           5,
,"37107 CIUDAD RODRIGO",          55,
,"37110 CORDOVILLA",          19,
,"37114 CHAGARCIA MEDIANERO",           1,
,"37117 DOÑINOS DE SALAMANCA",           5,
,"37121 ENCINAS DE ABAJO",          25,
,"37125 ESCURIAL DE LA SIERRA",           2,
,"37128 ESPINO DE LA ORBADA",           1,
,"37129 FLORIDA DE LIEBANA",           1,
,"37133 FRESNEDOSO",           1,
,"37135 FUENTE DE SAN ESTEBAN (LA)",           4,
,"37137 FUENTELIANTE",           1,
,"37139 FUENTES DE BEJAR",           1,
,"37140 FUENTES DE OÑORO",           4,
,"37142 GALINDO Y PERAHUY",           3,
,"37144 GALISANCHO",           1,
,"37145 GALLEGOS DE ARGAÑAN",           7,
,"37148 GARCIHERNANDEZ",           1,
,"37152 GOMECELLO",          11,
,"37155 GUIJO DE AVILA",           1,
,"37156 GUIJUELO",          64,
,"37162 HORCAJO MEDIANERO",           4,
,"37164 HUERTA",          39,
,"37166 ITUERO DE AZABA",           1,
,"37168 LAGUNILLA",           1,
,"37169 LARRODRIGO",           2,
,"37170 LEDESMA",           3,
,"37171 LEDRADA",           4,
,"37172 LINARES DE RIOFRIO",           3,
,"37173 LUMBRALES",          11,
,"37174 MACOTERA",          10,
,"37175 MACHACON",          17,
,"37177 MAILLO (EL)",           2,
,"37181 MARTIAGO",           4,
,"37182 MARTINAMOR",           1,
,"37184 MASUECO",           1,
,"37185 CASTELLANOS DE VILLIQUERA",           1,
,"37187 MATILLA DE LOS CAÑOS DEL RIO",           1,
,"37188 MAYA (LA)",           2,
,"37192 MIRANDA DE AZAN",           1,
,"37194 MOGARRAZ",           6,
,"37198 MONLERAS",           3,
,"37202 MONTERRUBIO DE ARMUÑA",           3,
,"37204 MORASVERDES",           1,
,"37206 MORIÑIGO",           1,
,"37207 MORISCOS",           2,
,"37209 MOZARBEZ",           6,
,"37216 NAVALES",           1,
,"37222 NEGRILLA DE PALENCIA",           1,
,"37228 PALACIOSRUBIOS",           1,
,"37229 PALENCIA DE NEGRILLA",           3,
,"37231 PARADA DE RUBIALES",           1,
,"37235 PEDRAZA DE ALBA",           2,
,"37236 PEDROSILLO DE ALBA",           3,
,"37237 PEDROSILLO DE LOS AIRES",           2,
,"37239 PEDROSO DE LA ARMUÑA (EL)",           6,
,"37240 PELABRAVO",           5,
,"37245 PEÑAPARDA",           3,
,"37246 PEÑARANDA DE BRACAMONTE",          47,
,"37247 PEÑARANDILLA",           1,
,"37251 PEROMINGO",           1,
,"37252 PINEDAS",           1,
,"37254 PITIEGUA",           2,
,"37255 PIZARRAL",           2,
,"37256 POVEDA DE LAS CINTAS",           4,
,"37258 PUEBLA DE AZABA",           2,
,"37271 ROLLAN",           2,
,"37274 SALAMANCA",         276,
,"37278 SAN CRISTOBAL DE LA CUESTA",           4,
,"37279 SANCTI-SPIRITUS",           3,
,"37287 SAN MIGUEL DE VALERO",           5,
,"37289 SAN MUÑOZ",           3,
,"37294 SANTA MARTA DE TORMES",          42,
,"37297 SANTIBAÑEZ DE BEJAR",           3,
,"37298 SANTIBAÑEZ DE LA SIERRA",           1,
,"37300 SANTOS (LOS)",           3,
,"37312 SORIHUELA",           7,
,"37314 TABERA DE ABAJO",           1,
,"37315 TALA (LA)",           1,
,"37316 TAMAMES",           9,
,"37317 TARAZONA DE GUAREÑA",           2,
,"37318 TARDAGUILA",           2,
,"37323 TOPAS",           1,
,"37324 TORDILLOS",           8,
,"37330 VALDECARROS",           9,
,"37333 VALDELACASA",           1,
,"37339 VALERO",           2,
,"37344 VECINOS",           1,
,"37347 VELLES (LA)",          10,
,"37351 VILLAFLORES",           2,
,"37354 VILLAMAYOR",          16,
,"37355 VILLANUEVA DEL CONDE",           8,
,"37360 VILLAR DE PERALONSO",           5,
,"37362 VILLARES DE LA REINA",         102,
,"37370 VILLASECO DE LOS REYES",           1,
,"37371 VILLASRUBIAS",           1,
,"37372 VILLAVERDE DE GUAREÑA",           1,
,"37373 VILLAVIEJA DE YELTES",           1,
,"37374 VILLORIA",           8,
,"37375 VILLORUELA",           2,
,"37376 VITIGUDINO",           9,
,"37377 YECLA DE YELTES",           1,
,"37379 ZAMAYON",           4,
,"37382 ZORITA DE LA FRONTERA",           8,
,"40001 ABADES",           4,
,"40002 ADRADA DE PIRON",           1,
,"40003 ADRADOS",           3,
,"40004 AGUILAFUENTE",           2,
,"40008 ALDEALENGUA DE SANTA MARIA",           2,
,"40012 ALDEA REAL",           7,
,"40013 ALDEASOÑA",           2,
,"40017 ANAYA",           2,
,"40020 ARCONES",           2,
,"40024 AYLLON",          25,
,"40025 BARBOLLA",           1,
,"40030 BERNARDOS",           1,
,"40031 BERNUY DE PORREROS",           4,
,"40032 BOCEGUILLAS",           4,
,"40036 CABEZUELA",           7,
,"40039 CAMPO DE SAN PEDRO",           5,
,"40040 CANTALEJO",          30,
,"40041 CANTIMPALOS",           4,
,"40043 CARBONERO EL MAYOR",          89,
,"40046 CASTILLEJO DE MESLEON",           1,
,"40048 CASTROJIMENO",           2,
,"40057 COCA",           7,
,"40063 CUELLAR",         108,
,"40065 CHAÑE",           6,
,"40073 ESCALONA DEL PRADO",           2,
,"40075 ESCOBAR DE POLENDOS",           6,
,"40076 ESPINAR (EL)",          25,
,"40077 ESPIRDO",           6,
